没什么用拿来占位的第一行，这是第4个文件
0,10959,35,58
1,6527,48,4
2,9833,26,45
3,11691,35,73
4,5290,27,37
5,8807,24,31
6,3581,55,70
7,1709,7,61
8,7573,0,45
9,7043,28,4
10,5331,44,6
11,1789,29,30
12,10169,25,49
13,5788,31,25
14,5912,56,43
15,11401,32,64
16,7208,17,32
17,11777,23,24
18,4239,41,59
19,6308,3,51
20,8238,8,28
21,5693,16,7
22,7875,18,22
23,5073,42,50
24,7024,7,19
25,6369,57,72
26,4107,34,30
27,2541,10,46
28,2564,10,59
29,2449,42,41
30,2274,19,58
31,2053,42,63
32,7610,34,37
33,6183,18,52
34,8408,31,53
35,8628,35,32
36,3299,52,69
37,8353,14,33
38,1498,49,34
39,2658,33,20
40,6876,54,69
41,7833,32,12
42,7671,57,6
43,4909,30,47
44,5687,41,38
45,3564,24,23
46,10997,9,64
47,11193,13,20
48,3575,57,18
49,4733,58,64
50,9328,17,58
51,1948,8,4
52,11934,42,14
53,216,14,4
54,7162,28,53
55,4851,27,29
56,10948,8,33
57,5911,4,13
58,4632,24,19
59,9674,16,57
60,11837,19,71
61,1394,54,19
62,4750,39,62
63,5513,2,40
64,10218,29,56
65,2920,22,35
66,4950,15,38
67,7608,60,58
68,7597,47,52
69,6767,23,31
70,7423,21,36
71,5145,31,39
72,7413,22,26
73,10601,52,4
74,7617,27,69
75,4147,48,58
76,4107,17,22
77,6844,2,23
78,11904,16,28
79,10155,54,9
80,7035,49,29
81,11871,15,69
82,2961,22,58
83,3886,50,61
84,3214,51,6
85,8458,51,72
86,467,15,39
87,2190,15,16
88,7537,54,13
89,9492,30,27
90,5727,25,15
91,8432,53,70
92,7000,45,15
93,6532,42,38
94,1244,44,50
95,1001,17,60
96,9074,45,52
97,6413,15,39
98,1680,51,56
99,1767,10,27
100,1793,43,35
101,9532,42,40
102,6129,38,5
103,10995,55,8
104,10732,17,74
105,956,15,24
106,10166,35,42
107,6819,29,75
108,9759,0,47
109,6889,26,36
110,9067,37,75
111,10977,18,48
112,1543,46,22
113,7023,21,25
114,8357,52,26
115,8055,4,1
116,3630,51,26
117,7548,23,13
118,9648,55,6
119,6521,19,63
120,7306,1,67
121,6083,31,3
122,11282,30,43
123,5903,48,30
124,8829,58,47
125,9305,48,21
126,8682,29,64
127,3682,48,48
128,1421,57,69
129,3226,45,3
130,11215,19,3
131,3182,21,7
132,1361,32,53
133,11880,24,48
134,9735,52,74
135,5656,12,31
136,1303,37,17
137,6841,42,27
138,5440,50,10
139,6858,3,39
140,6335,48,1
141,937,35,45
142,2345,41,22
143,11397,54,51
144,11819,32,36
145,11967,25,1
146,8247,37,23
147,4640,59,27
148,8342,46,4
149,5703,55,3
150,2891,43,19
151,8269,8,14
152,3213,42,48
153,11710,51,60
154,4012,19,32
155,949,8,35
156,177,58,41
157,10376,14,40
158,11579,47,54
159,5207,29,26
160,6485,1,8
161,2978,45,4
162,9869,58,20
163,4516,5,32
164,11152,34,64
165,3159,13,40
166,10543,15,65
167,11310,12,56
168,301,48,63
169,6955,49,72
170,2480,15,23
171,5914,56,68
172,5843,20,2
