355,2,0
1700,4,0
1925,3,0
3711,0,0
5859,1,0
5527,1,0
2183,3,0
2866,0,0
582,4,0
1086,1,0
3407,0,0
2076,4,1
3890,0,1
503,1,1
5612,2,1
3772,0,1
506,2,1
4418,1,1
1882,3,1
5210,3,1
835,0,1
2315,1,1
2800,4,1
5627,2,1
1378,0,1
2773,1,1
691,1,1
1919,4,1
4355,2,1
5201,1,1
4469,3,1
5796,0,1
1333,4,1
5140,2,1
5366,0,1
462,3,1
1315,4,1
5082,2,1
4686,0,2
4070,1,2
2039,3,2
4060,3,2
1681,0,2
1077,4,2
3740,3,2
4160,1,2
1130,0,2
5376,2,2
5860,4,2
1308,2,2
2069,1,2
2412,0,2
405,4,2
2057,2,2
5483,1,2
2943,3,2
681,0,2
3451,1,2
5865,4,2
1633,0,2
3085,1,2
2372,0,2
1379,1,2
2713,0,2
4744,1,2
864,0,2
3446,2,2
5429,3,2
3037,4,2
1948,2,2
4032,3,2
3499,4,2
1950,2,2
4180,3,2
1760,1,2
947,4,2
5207,0,2
1845,2,2
5953,3,2
2246,1,2
1368,4,2
1152,2,2
3288,0,2
544,3,2
187,1,2
3007,0,2
803,1,2
2456,1,2
2534,3,2
715,4,2
2409,0,2
4122,1,2
652,2,2
2009,4,2
2393,3,2
3387,2,2
2593,4,2
1034,0,2
5786,2,2
5543,1,2
3447,0,2
3292,3,2
1728,1,2
4105,0,2
3303,4,2
902,1,2
1324,1,2
456,0,2
4391,2,2
3627,3,2
2164,0,2
5478,3,2
1741,1,2
1471,4,2
5761,0,2
2006,2,2
4894,3,2
5220,3,2
821,4,2
1902,1,2
4401,0,2
1547,2,2
4177,1,2
5852,4,2
5723,2,2
316,0,2
3072,3,2
4911,4,2
3310,1,2
5318,0,2
812,1,3
1126,0,3
2276,2,3
461,3,3
3833,4,3
2008,3,3
1534,3,3
5749,3,3
5920,1,3
3805,0,3
5629,2,3
5222,4,3
1990,2,3
3118,3,3
4277,1,3
4856,0,3
1144,0,3
2827,1,3
2420,0,3
2120,0,3
4789,4,3
2569,2,3
5313,4,3
5986,2,3
1371,4,3
2252,2,3
3453,0,3
3097,3,3
4344,0,3
1918,4,3
330,2,3
5914,1,3
2908,0,3
3318,3,3
5628,4,3
2061,0,3
3176,0,3
3641,2,3
4825,0,3
896,0,3
609,0,3
900,3,3
2195,3,3
761,0,3
2543,4,3
1029,0,3
3501,0,3
2585,2,3
1822,0,3
1958,3,3
2551,4,3
1735,3,3
759,0,3
49,0,3
228,0,3
1829,2,3
5984,4,3
1270,0,3
3077,0,3
3655,0,3
5756,0,3
5228,0,3
196,0,3
1469,0,3
2416,0,3
3761,0,3
2099,0,3
4152,0,3
2367,0,3
4668,0,3
1973,0,3
1893,0,4
1296,0,4
2082,0,4
4600,0,4
689,0,4
4065,1,4
5420,1,4
5793,0,4
980,0,4
3709,0,4
4754,0,4
2907,0,4
2290,0,4
5709,0,4
5615,0,4
3642,0,4
150,0,4
1729,0,4
2062,1,4
3792,0,4
3988,0,4
1619,0,4
5727,0,4
1184,0,4
5888,0,4
1356,0,4
4412,0,4
5870,0,4
3640,0,4
3971,0,4
3508,0,4
3436,0,4
5513,0,4
1488,0,4
2098,0,4
1613,0,4
999,0,4
4673,0,4
697,0,4
4629,0,4
3746,1,4
3863,0,4
4002,0,4
1355,0,4
3289,0,4
