没什么用拿来占位的第一行，这是第5个文件
0,7,48,54
1,441,34,47
2,302,7,60
3,923,4,17
4,51,16,55
5,378,40,50
6,615,21,76
7,360,9,39
8,235,53,74
9,278,15,47
10,959,19,40
11,16,19,48
12,33,25,45
13,435,35,52
14,698,38,36
15,667,47,37
16,455,50,47
17,887,47,38
18,360,44,63
19,860,17,45
20,416,22,65
21,216,19,64
22,45,42,31
23,193,4,29
24,499,7,29
25,289,0,54
26,158,16,63
27,579,1,61
28,182,4,4
29,835,29,35
30,782,28,66
31,27,11,21
32,68,14,1
33,502,20,11
34,956,35,16
35,479,19,72
36,802,30,45
37,891,19,9
38,754,42,32
39,328,28,54
40,540,9,17
41,348,20,14
42,472,25,39
43,943,13,32
44,493,18,68
45,875,40,53
46,50,20,50
47,530,0,79
48,497,35,20
49,14,39,43
50,940,28,61
51,42,42,33
52,536,45,22
53,113,25,59
54,671,4,43
55,60,42,53
56,217,9,12
57,650,31,61
58,642,15,25
59,670,5,14
60,624,6,8
61,582,48,48
62,274,33,75
63,768,7,40
64,916,30,56
65,675,5,10
66,874,23,77
67,667,44,15
68,296,49,15
69,163,26,28
70,595,52,57
71,836,49,65
72,880,33,15
73,552,12,50
74,145,47,17
75,504,17,62
76,151,48,2
77,839,36,17
78,747,30,29
79,74,32,30
80,130,45,64
81,262,20,8
82,161,53,76
83,360,44,28
84,325,18,55
85,78,33,14
86,679,1,63
87,695,24,57
88,775,2,30
89,209,43,31
90,722,6,49
91,584,5,41
92,378,51,1
93,81,15,56
94,460,27,35
95,431,11,20
96,19,41,22
97,97,33,62
98,684,47,1
99,75,26,61
100,433,49,61
101,703,22,32
102,370,12,40
103,16,50,19
104,840,42,18
105,691,12,4
106,72,16,9
107,132,26,63
108,62,10,50
109,608,12,1
110,195,12,50
111,952,17,77
112,140,8,11
113,624,1,10
114,59,24,71
115,122,21,16
116,593,2,66
117,504,45,50
118,195,44,79
119,794,17,74
120,509,45,14
121,765,4,28
122,442,29,77
123,620,5,7
124,381,53,28
125,536,2,19
126,515,25,79
127,688,0,71
128,152,46,6
129,589,34,42
130,75,20,27
131,746,1,25
132,599,30,67
133,709,49,35
134,89,34,26
135,580,9,31
136,576,20,1
137,444,11,52
138,19,26,10
139,362,37,27
140,80,39,28
141,719,8,9
142,230,31,46
143,105,23,21
144,614,39,46
145,521,13,62
146,595,18,31
147,131,20,72
148,634,8,25
149,297,28,74
150,266,19,30
151,401,28,63
152,116,41,44
153,554,29,78
154,984,35,64
155,490,19,57
156,256,17,50
157,147,0,68
158,204,21,52
159,226,51,60
160,504,16,54
161,762,44,61
162,449,45,55
163,810,11,76
164,555,6,27
165,123,50,66
166,742,5,14
167,691,53,56
168,767,23,35
169,987,16,64
170,713,47,40
171,728,49,70
172,104,29,57
173,69,2,73
174,727,24,9
175,45,10,42
176,894,43,47
177,868,34,4
178,803,2,64
179,978,26,68
180,43,42,36
181,965,15,79
182,442,44,48
183,293,8,15
184,70,23,5
185,758,53,29
186,846,10,12
187,589,51,31
188,838,53,21
189,91,15,8
190,631,9,51
191,256,29,74
192,80,13,6
193,903,5,7
194,238,16,21
195,936,16,24
196,823,53,52
197,991,42,44
198,131,35,79
199,713,17,35
200,19,5,29
201,465,8,22
202,778,37,57
203,414,51,58
204,145,15,47
205,344,6,58
206,409,14,3
207,583,28,6
208,735,28,17
209,371,32,24
210,115,44,42
211,11,36,79
212,726,40,57
213,350,7,75
214,527,1,45
215,678,7,75
216,562,23,34
217,23,21,18
